model,setting,n,mean_difference,cohens_dz,direction
tfidf,full_sample,269,-0.0001279727375610186,-2.2587216560098557,chinese_higher
tfidf,first_half,134,-0.0001232374838842135,-2.034176768182561,chinese_higher
tfidf,second_half,135,-0.00013267291528466213,-2.5380985475142612,chinese_higher
tfidf,trimmed_2_5pct,255,-0.0001300700816111853,-2.6019561614559064,chinese_higher
svd100,full_sample,269,-0.00014437594756305452,-2.0906695063853866,chinese_higher
svd100,first_half,134,-0.00014025829804520525,-1.8753427803708003,chinese_higher
svd100,second_half,135,-0.00014846309597336418,-2.361584851407639,chinese_higher
svd100,trimmed_2_5pct,255,-0.0001467089290122256,-2.439188078998788,chinese_higher
minilm,full_sample,269,0.006024941442383835,0.8105567103861373,english_higher
minilm,first_half,134,0.006028716777765013,0.7823151807570855,english_higher
minilm,second_half,135,0.006021194072449925,0.8385565904814305,english_higher
minilm,trimmed_2_5pct,255,0.006223138513020938,0.9662333899167567,english_higher
