variant_id,variable,level,jd_id,jd_category,model,score
baseline,baseline,baseline,jd_00a6a297acb71dd5,product,tfidf,0.017695157976546128
baseline,baseline,baseline,jd_020a83e03087d359,data,tfidf,0.03134493255586938
baseline,baseline,baseline,jd_02443fbcbc3e7b97,swe,tfidf,0.019847174626282455
baseline,baseline,baseline,jd_02b0803e16f61687,consulting,tfidf,0.01625731590146742
baseline,baseline,baseline,jd_03262d05379f7ecd,swe,tfidf,0.017766316315180285
baseline,baseline,baseline,jd_0357846a7e2f4d1d,swe,tfidf,0.02738293944771689
baseline,baseline,baseline,jd_038db4930aad500c,data,tfidf,0.0252387187549741
baseline,baseline,baseline,jd_03d2ab6009b864c3,data,tfidf,0.03015042906065602
baseline,baseline,baseline,jd_05a24407957e0691,data,tfidf,0.027924506565050435
baseline,baseline,baseline,jd_06231c926d5bf464,consulting,tfidf,0.011185601296208627
baseline,baseline,baseline,jd_069d277629f131f3,product,tfidf,0.021636056378548804
baseline,baseline,baseline,jd_06d329797bea5ccd,swe,tfidf,0.019153703495377084
baseline,baseline,baseline,jd_0770f5208e6871ac,swe,tfidf,0.022984341812815615
baseline,baseline,baseline,jd_07e862b2ecf89cbc,unclassified,tfidf,0.024880277553291297
baseline,baseline,baseline,jd_0916eaf4fe1092f2,product,tfidf,0.014491390906811754
baseline,baseline,baseline,jd_09dad3e0b0d9cd6a,consulting,tfidf,0.013463906102191408
baseline,baseline,baseline,jd_0a16c4c98c88d7a0,product,tfidf,0.024525508438209102
baseline,baseline,baseline,jd_0a609701913f5a75,swe,tfidf,0.020604869485918584
baseline,baseline,baseline,jd_0a9762d8843b83e0,data,tfidf,0.02860016272509845
baseline,baseline,baseline,jd_0bee3551a73d78a3,swe,tfidf,0.026574366378957985
baseline,baseline,baseline,jd_0ca483f637e33f13,data,tfidf,0.02396496176625715
baseline,baseline,baseline,jd_0d3ea6dbbc30153f,swe,tfidf,0.019110609771857884
baseline,baseline,baseline,jd_0eeb6575f56e7f69,unclassified,tfidf,0.020065648066816037
baseline,baseline,baseline,jd_0ef673fb285823ad,product,tfidf,0.02864621610522609
baseline,baseline,baseline,jd_0f13ca3eba207b16,consulting,tfidf,0.019936322918224704
baseline,baseline,baseline,jd_0f7579aec268be49,product,tfidf,0.018738673358641735
baseline,baseline,baseline,jd_0fa516910ac9b44a,swe,tfidf,0.026263024901072133
baseline,baseline,baseline,jd_0fd876fe87aca323,consulting,tfidf,0.021759018178565844
baseline,baseline,baseline,jd_1027baf4d50a7929,data,tfidf,0.021369482639614277
baseline,baseline,baseline,jd_1049b0f893728721,unclassified,tfidf,0.022966220685653252
baseline,baseline,baseline,jd_10d3553435c98af7,product,tfidf,0.0163493187398026
baseline,baseline,baseline,jd_14caadfd234d0a39,unclassified,tfidf,0.0043436953837597166
baseline,baseline,baseline,jd_167daabaa6d25236,product,tfidf,0.020642980910961607
baseline,baseline,baseline,jd_16bc5d0fc909aee1,unclassified,tfidf,0.0064501378705451185
baseline,baseline,baseline,jd_1768aaac673275f2,unclassified,tfidf,0.00458998444679755
baseline,baseline,baseline,jd_17749ce6c93ea26c,consulting,tfidf,0.018509870398869258
baseline,baseline,baseline,jd_1816188e68594aa1,swe,tfidf,0.02332231886994077
baseline,baseline,baseline,jd_1962f1bb30accf2d,data,tfidf,0.031840164621598166
baseline,baseline,baseline,jd_1a37599c56e97052,data,tfidf,0.02152227753609045
baseline,baseline,baseline,jd_1ae0b11da63288a6,data,tfidf,0.02458022896638999
baseline,baseline,baseline,jd_1c28aa702102ad60,product,tfidf,0.018719558500575717
baseline,baseline,baseline,jd_1cac2873b40bd604,consulting,tfidf,0.012484840447477333
baseline,baseline,baseline,jd_1d64a46b76234cda,data,tfidf,0.024729223174387298
baseline,baseline,baseline,jd_1ec8407165dcc4a3,swe,tfidf,0.032344837947545654
baseline,baseline,baseline,jd_1f23c60a48236b11,swe,tfidf,0.02366203770813253
baseline,baseline,baseline,jd_1ff3006b16b1697b,product,tfidf,0.017856274963984366
baseline,baseline,baseline,jd_200946c0c5d0ae0b,unclassified,tfidf,0.015697818143596536
baseline,baseline,baseline,jd_201e63cf39154616,unclassified,tfidf,0.02485264552226221
baseline,baseline,baseline,jd_2116afc3b2bcd322,unclassified,tfidf,0.021363775845420818
baseline,baseline,baseline,jd_225fabbfbbf62c4f,swe,tfidf,0.027125255739636537
baseline,baseline,baseline,jd_23647ae909026b96,product,tfidf,0.01818919185924221
baseline,baseline,baseline,jd_25b4e5360bba33f7,data,tfidf,0.03560415440629532
baseline,baseline,baseline,jd_26953d29fcd98ad6,consulting,tfidf,0.019979629374781087
baseline,baseline,baseline,jd_286fb740fa143aac,unclassified,tfidf,0.01968781743020475
baseline,baseline,baseline,jd_2965b846a6f2aaa0,product,tfidf,0.014488712365623265
baseline,baseline,baseline,jd_29fba6e373261f61,unclassified,tfidf,0.021504152910613836
baseline,baseline,baseline,jd_2a4887eaed7c6f97,product,tfidf,0.019271721363461305
baseline,baseline,baseline,jd_2a8590e1c18a6119,product,tfidf,0.019640953490432735
baseline,baseline,baseline,jd_2b3617cb2d9e197e,consulting,tfidf,0.014121074550135261
baseline,baseline,baseline,jd_2b6e8cb5fef2ebca,swe,tfidf,0.0200220956215753
baseline,baseline,baseline,jd_2c78bfdc312c7b34,unclassified,tfidf,0.008095148016024973
baseline,baseline,baseline,jd_2da39ca80385e65c,data,tfidf,0.02122176272546417
baseline,baseline,baseline,jd_2e58096fc9797fdc,unclassified,tfidf,0.02025231546905226
baseline,baseline,baseline,jd_2f994113bb7ddad9,product,tfidf,0.01793863649352323
baseline,baseline,baseline,jd_30404ac2bf89d5ca,swe,tfidf,0.03512291868776439
baseline,baseline,baseline,jd_31712cd287144b43,unclassified,tfidf,0.029540414277805214
baseline,baseline,baseline,jd_32084644a50f2c11,consulting,tfidf,0.014370811587161816
baseline,baseline,baseline,jd_32e2838f8e998888,product,tfidf,0.020487346883930963
baseline,baseline,baseline,jd_3311aec1bcc986c7,product,tfidf,0.018272449286401145
baseline,baseline,baseline,jd_34bd0bb2bcb7ff85,consulting,tfidf,0.013877559687040821
baseline,baseline,baseline,jd_35ba8096a709b039,swe,tfidf,0.01676479180969192
baseline,baseline,baseline,jd_35d4912efa14857a,data,tfidf,0.02611996800442076
baseline,baseline,baseline,jd_385ced56c0122e07,swe,tfidf,0.025860145567991735
baseline,baseline,baseline,jd_3b53ddaf1d8a225d,unclassified,tfidf,0.023251792046862205
baseline,baseline,baseline,jd_3b8018e0e604afca,consulting,tfidf,0.021907397576400964
baseline,baseline,baseline,jd_3dcd9a33af5a1348,swe,tfidf,0.024144468108000163
baseline,baseline,baseline,jd_3e0ca3dc0fa861b9,consulting,tfidf,0.02283532602943168
baseline,baseline,baseline,jd_3f1d6319fba83c8c,swe,tfidf,0.019446569479048978
baseline,baseline,baseline,jd_3f22ab24b04835f9,swe,tfidf,0.027770087717545522
baseline,baseline,baseline,jd_3f9c4a7df56c58bd,consulting,tfidf,0.01617949899248403
baseline,baseline,baseline,jd_40dd7e9e861529b7,product,tfidf,0.02921129823756928
baseline,baseline,baseline,jd_4244a836004b885b,data,tfidf,0.022670994360578785
baseline,baseline,baseline,jd_438e4802ef476aa3,swe,tfidf,0.03150884222029761
baseline,baseline,baseline,jd_439202b822c91a11,data,tfidf,0.022149988129389352
baseline,baseline,baseline,jd_43aaa19fe0e1c433,product,tfidf,0.030827594913984676
baseline,baseline,baseline,jd_43ea59620ea9d5b5,consulting,tfidf,0.02027781230631489
baseline,baseline,baseline,jd_443e4dff47b6f0c6,unclassified,tfidf,0.019964849990942477
baseline,baseline,baseline,jd_452d69e4e95591a9,consulting,tfidf,0.01949008331008301
baseline,baseline,baseline,jd_454f406ba5bbf065,swe,tfidf,0.030276877857203375
baseline,baseline,baseline,jd_458f1f6215f23896,product,tfidf,0.0249628296839415
baseline,baseline,baseline,jd_48764075bfa243dc,product,tfidf,0.023382454459485925
baseline,baseline,baseline,jd_49b3cfc40190d670,data,tfidf,0.020130106923048115
baseline,baseline,baseline,jd_4a0384c42f7d73d6,consulting,tfidf,0.012851376842947985
baseline,baseline,baseline,jd_4a1bf4eeb67e4174,swe,tfidf,0.024880677960087437
baseline,baseline,baseline,jd_4ab0c533dae90163,consulting,tfidf,0.009479097326521376
baseline,baseline,baseline,jd_4d7bf824d3033821,product,tfidf,0.013058647580749701
baseline,baseline,baseline,jd_4e9cea8c6cb7392e,swe,tfidf,0.02297095593807459
baseline,baseline,baseline,jd_501cea4d20cbedba,swe,tfidf,0.026935670870152157
baseline,baseline,baseline,jd_51c8ff85921d7550,product,tfidf,0.024547152981406646
baseline,baseline,baseline,jd_54363f569f436b1a,product,tfidf,0.0184375657053268
baseline,baseline,baseline,jd_5524857f44c35221,data,tfidf,0.021737487177818513
baseline,baseline,baseline,jd_556aa04a8fb73ad8,data,tfidf,0.017110557859147398
baseline,baseline,baseline,jd_562c0d28a1a0d03d,swe,tfidf,0.026317375471156184
baseline,baseline,baseline,jd_576b73fe69e9f20d,consulting,tfidf,0.019243705064886554
baseline,baseline,baseline,jd_579f46f977f45473,consulting,tfidf,0.01951009031229902
baseline,baseline,baseline,jd_582bc307bd73fe23,product,tfidf,0.021134515949014422
baseline,baseline,baseline,jd_59afd105ae5429e3,swe,tfidf,0.021560348141921693
baseline,baseline,baseline,jd_5b385c72e1e8a4e6,product,tfidf,0.01693483411120482
baseline,baseline,baseline,jd_5bfb50faa3d8f0e1,consulting,tfidf,0.013648310871303188
baseline,baseline,baseline,jd_5fde223c0020564c,swe,tfidf,0.024134999107190868
baseline,baseline,baseline,jd_6010c4f6e9121061,data,tfidf,0.027217726985465734
baseline,baseline,baseline,jd_61d515a5085c2467,data,tfidf,0.027244857041662345
baseline,baseline,baseline,jd_62038a41777de0ff,swe,tfidf,0.038083347853293835
baseline,baseline,baseline,jd_659eebb6dc0bb0cf,swe,tfidf,0.02105471631831035
baseline,baseline,baseline,jd_65d074f6170064ce,product,tfidf,0.021780255516397864
baseline,baseline,baseline,jd_6719921d465d62f9,swe,tfidf,0.01698263161287223
baseline,baseline,baseline,jd_6b1f2da4691b9a7c,unclassified,tfidf,0.011209114140845399
baseline,baseline,baseline,jd_6b92ca61531dba09,swe,tfidf,0.03166714359174571
baseline,baseline,baseline,jd_6be31d40082c9181,product,tfidf,0.01833943999853193
baseline,baseline,baseline,jd_6ca3c3e2369b921f,consulting,tfidf,0.019664726996989238
baseline,baseline,baseline,jd_6d822dd6f6e96063,swe,tfidf,0.02163515910738577
baseline,baseline,baseline,jd_6e306ef4ae2f2a35,swe,tfidf,0.01830323350639048
baseline,baseline,baseline,jd_6f32b4be16c776ab,unclassified,tfidf,0.03621535823560454
baseline,baseline,baseline,jd_6fe11900b6892325,unclassified,tfidf,0.03364965345299881
baseline,baseline,baseline,jd_706742770c6b80a6,product,tfidf,0.016754415309018444
baseline,baseline,baseline,jd_71bcaeb29a066c4d,product,tfidf,0.01792709373095747
baseline,baseline,baseline,jd_7221d721af21e011,data,tfidf,0.025382958373324653
baseline,baseline,baseline,jd_739d8d67b02b0f69,unclassified,tfidf,0.023055242789560212
baseline,baseline,baseline,jd_73de9c4a398a2916,consulting,tfidf,0.013023321209930081
baseline,baseline,baseline,jd_74d156e0cf64224a,consulting,tfidf,0.01531824683684469
baseline,baseline,baseline,jd_7524ad5705d40f54,product,tfidf,0.016870613108164893
baseline,baseline,baseline,jd_7590fb87fdaba530,consulting,tfidf,0.016985758860421064
baseline,baseline,baseline,jd_75de58c306507370,consulting,tfidf,0.014316863711872489
baseline,baseline,baseline,jd_766dfcadd1435733,data,tfidf,0.02828715897040983
baseline,baseline,baseline,jd_769361e56cfdf231,swe,tfidf,0.023885423430624823
baseline,baseline,baseline,jd_76e5fd0088340126,data,tfidf,0.027896747015680273
baseline,baseline,baseline,jd_77d17d663eb91112,swe,tfidf,0.030404588598174888
baseline,baseline,baseline,jd_77f4a960c813ba04,consulting,tfidf,0.012317685501977866
baseline,baseline,baseline,jd_7836f96d7314e4eb,swe,tfidf,0.004465924810789882
baseline,baseline,baseline,jd_7aa647417e7ed395,product,tfidf,0.02323706051849105
baseline,baseline,baseline,jd_7aa7ece93f7fa32b,swe,tfidf,0.020468969165737327
baseline,baseline,baseline,jd_7aea72dc31c8c82f,swe,tfidf,0.021995026102658525
baseline,baseline,baseline,jd_7b38080b2b859042,swe,tfidf,0.03294955240364282
baseline,baseline,baseline,jd_7de7cd3fbac941d4,unclassified,tfidf,0.019246912892387048
baseline,baseline,baseline,jd_7f61c177a384c9bf,product,tfidf,0.021033702408629156
baseline,baseline,baseline,jd_7fee1f2df5db7442,product,tfidf,0.01853451061244609
baseline,baseline,baseline,jd_83244b0fb3f1043d,consulting,tfidf,0.02187420638959931
baseline,baseline,baseline,jd_833dfa9f310597bd,product,tfidf,0.017559394680030736
baseline,baseline,baseline,jd_838288a8d8eff810,unclassified,tfidf,0.022050694799775842
baseline,baseline,baseline,jd_8390bcc927b3f72b,swe,tfidf,0.028795905444755555
baseline,baseline,baseline,jd_8442bc7b56c9b8f5,swe,tfidf,0.017748252759474864
baseline,baseline,baseline,jd_8634b4a34652b5c3,swe,tfidf,0.026926190284091673
baseline,baseline,baseline,jd_867f84ac5a1a475a,product,tfidf,0.02443333432535828
baseline,baseline,baseline,jd_86bfc905b9ad066c,unclassified,tfidf,0.02217876705472645
baseline,baseline,baseline,jd_885e6d6d6c923bc2,consulting,tfidf,0.013699343595727562
baseline,baseline,baseline,jd_88c0d3389aba632a,data,tfidf,0.027553885747860482
baseline,baseline,baseline,jd_8b0f0ad306ffb46c,consulting,tfidf,0.019851606163742513
baseline,baseline,baseline,jd_8b4b6e27adefce37,data,tfidf,0.03436487380875739
baseline,baseline,baseline,jd_8b93c5b7e2960174,product,tfidf,0.02178762651968656
baseline,baseline,baseline,jd_8bc270a2da5d309f,consulting,tfidf,0.016599092205828576
baseline,baseline,baseline,jd_8bdde1b56a1861dc,swe,tfidf,0.013959493991331251
baseline,baseline,baseline,jd_8deffa6d1a231300,product,tfidf,0.023153527748540462
baseline,baseline,baseline,jd_924e90671e81aa89,product,tfidf,0.017198047352219845
baseline,baseline,baseline,jd_97d9b743bfe21daf,data,tfidf,0.026009645955249964
baseline,baseline,baseline,jd_97f02a6b790a3533,data,tfidf,0.031229047293325058
baseline,baseline,baseline,jd_989db4bed57c8fb5,product,tfidf,0.019083457768693603
baseline,baseline,baseline,jd_9bcaee7b12e887fb,unclassified,tfidf,0.025631040605532233
baseline,baseline,baseline,jd_9d95ac12aa0c6492,data,tfidf,0.024010975949521833
baseline,baseline,baseline,jd_9e2510341597c7cb,data,tfidf,0.02425966206900212
baseline,baseline,baseline,jd_9f77e00ed389206f,unclassified,tfidf,0.02815203817685237
baseline,baseline,baseline,jd_a26a71d20606ea28,product,tfidf,0.01731271009740628
baseline,baseline,baseline,jd_a5c992a3d7b2fd1d,product,tfidf,0.016355874122073327
baseline,baseline,baseline,jd_a5d12a43ba286690,product,tfidf,0.01910417566702063
baseline,baseline,baseline,jd_a9c32afc7f5edf9f,swe,tfidf,0.020218899180063876
baseline,baseline,baseline,jd_a9cb8d4000c80a0d,data,tfidf,0.01858873375156037
baseline,baseline,baseline,jd_aa7db163f8ec8280,data,tfidf,0.02484184966385776
baseline,baseline,baseline,jd_accb9b3e7afc89ab,consulting,tfidf,0.012636983957124254
baseline,baseline,baseline,jd_ad7a498a86a97f6d,swe,tfidf,0.02451631166043706
baseline,baseline,baseline,jd_adf671f33633aeb3,product,tfidf,0.023642813702972703
baseline,baseline,baseline,jd_af2cd3f93672d678,product,tfidf,0.014428956312743752
baseline,baseline,baseline,jd_b0b38e998fefdaf3,swe,tfidf,0.013643026761308403
baseline,baseline,baseline,jd_b156815080a77ad9,data,tfidf,0.03247087785256525
baseline,baseline,baseline,jd_b333deab4ad74b36,swe,tfidf,0.02688929784376813
baseline,baseline,baseline,jd_b5645d45d9247adb,data,tfidf,0.024940867483977773
baseline,baseline,baseline,jd_b5f37d67ce6366c8,swe,tfidf,0.0302632608242204
baseline,baseline,baseline,jd_b698bb86e88e82cc,swe,tfidf,0.030803162465635085
baseline,baseline,baseline,jd_b6be316e5e07173f,consulting,tfidf,0.014152624140226978
baseline,baseline,baseline,jd_b71cb8e89feec609,product,tfidf,0.021772471140174644
baseline,baseline,baseline,jd_b7c0baacabf16dbf,product,tfidf,0.02197231089024274
baseline,baseline,baseline,jd_b7f4c2024375b374,data,tfidf,0.03441749025624205
baseline,baseline,baseline,jd_b88035320b906600,unclassified,tfidf,0.012163889705950948
baseline,baseline,baseline,jd_bb818db46b233441,swe,tfidf,0.023903164017450237
baseline,baseline,baseline,jd_bbcdc871f962dac5,product,tfidf,0.026388810022044278
baseline,baseline,baseline,jd_bda965ac0ce26820,data,tfidf,0.023440901944052735
baseline,baseline,baseline,jd_bf59b28eeeb8b5d0,consulting,tfidf,0.01564604855787088
baseline,baseline,baseline,jd_c03dcd9cbe5575a5,swe,tfidf,0.02021009518718217
baseline,baseline,baseline,jd_c295be02dc4913df,data,tfidf,0.021251665242854857
baseline,baseline,baseline,jd_c3146f37eb456132,data,tfidf,0.022349676835632524
baseline,baseline,baseline,jd_c3cbd34781b23fb5,data,tfidf,0.024859727843399966
baseline,baseline,baseline,jd_c4dc2da6280be68b,data,tfidf,0.02794397476413597
baseline,baseline,baseline,jd_c5ed1d4c1058dd06,data,tfidf,0.02077536307635236
baseline,baseline,baseline,jd_c6463c037cdf527a,product,tfidf,0.026350305225905375
baseline,baseline,baseline,jd_c738a90551c4ff2a,swe,tfidf,0.020282372166486932
baseline,baseline,baseline,jd_c79c4d80ccbd8243,swe,tfidf,0.0244985115516678
baseline,baseline,baseline,jd_c83cc78de5081604,product,tfidf,0.02709079412081603
baseline,baseline,baseline,jd_c898326132c2f154,consulting,tfidf,0.025998064117510912
baseline,baseline,baseline,jd_c8c74b5960a2a9c2,data,tfidf,0.02344221831242151
baseline,baseline,baseline,jd_c90f5829a592b247,data,tfidf,0.030956250662823436
baseline,baseline,baseline,jd_c9524b0cf3167be7,unclassified,tfidf,0.03450404024057782
baseline,baseline,baseline,jd_ca208b6a36a6ae8e,consulting,tfidf,0.021136073051856663
baseline,baseline,baseline,jd_cb0262e7daa61fda,product,tfidf,0.0185949460837539
baseline,baseline,baseline,jd_cb16cecfaa45e639,consulting,tfidf,0.014981866017118905
baseline,baseline,baseline,jd_cb7918bc1c3612c6,swe,tfidf,0.026422739909121293
baseline,baseline,baseline,jd_cce49d8244a767a9,product,tfidf,0.030371436715949853
baseline,baseline,baseline,jd_cd575dee17230ea8,data,tfidf,0.030882766772228322
baseline,baseline,baseline,jd_d089a76bd624b7fc,swe,tfidf,0.02035831060017455
baseline,baseline,baseline,jd_d0e892f80697b6cb,product,tfidf,0.01655947679514021
baseline,baseline,baseline,jd_d3368eadbbaa458b,product,tfidf,0.024854744054774
baseline,baseline,baseline,jd_d3aa4076d9aac4b7,consulting,tfidf,0.02224093575063331
baseline,baseline,baseline,jd_d4a81a4b200f72d4,swe,tfidf,0.029274913537384588
baseline,baseline,baseline,jd_d4bb189741bdb0ae,product,tfidf,0.028956769713509026
baseline,baseline,baseline,jd_d5a16b7bc8ba6039,unclassified,tfidf,0.02735826745933337
baseline,baseline,baseline,jd_d5aeb2d931abde4b,data,tfidf,0.024448562844805972
baseline,baseline,baseline,jd_d5dee02141ed4987,data,tfidf,0.02948110238450781
baseline,baseline,baseline,jd_d5e9e9cdc4e5dec2,product,tfidf,0.028224852244354684
baseline,baseline,baseline,jd_d636300c35a03ea8,swe,tfidf,0.02703300234150308
baseline,baseline,baseline,jd_d6c1d6112a136d84,consulting,tfidf,0.023646938796912428
baseline,baseline,baseline,jd_d72594ad1673144d,product,tfidf,0.023048812417595117
baseline,baseline,baseline,jd_d7b2b519efca45c4,swe,tfidf,0.01786948280940365
baseline,baseline,baseline,jd_d8580bd2805ba37f,swe,tfidf,0.01691925826817376
baseline,baseline,baseline,jd_d8937e402bae19dd,data,tfidf,0.030112253327900473
baseline,baseline,baseline,jd_d9f7e99a04b50363,swe,tfidf,0.028135905661673975
baseline,baseline,baseline,jd_da03765cd166509d,data,tfidf,0.037255419166869835
baseline,baseline,baseline,jd_da97b72895297540,swe,tfidf,0.02489852914484877
baseline,baseline,baseline,jd_dde1ced0044c6e19,unclassified,tfidf,0.02129561288844298
